x,w
P4,
0.06943184420297371238802675555359524745213731018514118119213903954673526425247556714791883005776034739471153953401091183751812808044210401179575307706906,0.1739274225687269286865319746109997036176743479169467702462646597593759337329551758609918838661290797548990519523817510772122211251629908904285121491608
0.3300094782075718675986671204483776563997120651145428237035230115894899847683814827610623597822225942255198802396267533932077498379143754003611818157831,0.3260725774312730713134680253890002963823256520830532297537353402406240662670448241390081161338709202451009480476182489227877788748370091095714878508392
0.6699905217924281324013328795516223436002879348854571762964769884105100152316185172389376402177774057744801197603732466067922501620856245996388181842169,0.3260725774312730713134680253890002963823256520830532297537353402406240662670448241390081161338709202451009480476182489227877788748370091095714878508392
0.9305681557970262876119732444464047525478626898148588188078609604532647357475244328520811699422396526052884604659890881624818719195578959882042469229309,0.1739274225687269286865319746109997036176743479169467702462646597593759337329551758609918838661290797548990519523817510772122211251629908904285121491608
P5,
0.04691007703066800360118656085030351743717404461873456856311885672811460254165657652942850522322886904420818759164744195339896699578251390423125652149373,0.11846344252809454375713202035995868132163000110620700779141394411085864420152154928999671524697572238805456730407166279063138269425118406676597678964
0.2307653449471584544818427896498955975163566965472200218988841864702644073161223544820981663747145342143164713839478252244591543920627976789658256962186,0.2393143352496832340206457574178190964561477766715707699863638336669191335762562284877810625308020553897232104737061149871463950835265937110118009881378
0.5,0.2844444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444
0.7692346550528415455181572103501044024836433034527799781011158135297355926838776455179018336252854657856835286160521747755408456079372023210341743037814,0.2393143352496832340206457574178190964561477766715707699863638336669191335762562284877810625308020553897232104737061149871463950835265937110118009881378
0.9530899229693319963988134391496964825628259553812654314368811432718853974583434234705714947767711309557918124083525580466010330042174860957687434785063,0.11846344252809454375713202035995868132163000110620700779141394411085864420152154928999671524697572238805456730407166279063138269425118406676597678964
P6,
0.03376524289842398609384922275300269543261713114385508756372519173669324957789990186185563003903700747606816013671358294670601431024418079790391069096249,0.08566224618958517252014807108636644676341125074202199119931771989947288027117007732396385271319433487605826103493720215459587358373108798731482461465902
0.1693953067668677431693002024900473264967757178024149645927366470739082516964284495278567981267692717850558141803624266602213266138873097809138400994953,0.1803807865240693037849167569188580558307609463733727411448696201185700189186308591604811009944096739715586045701853992949399451391821605353883936057043
0.3806904069584015456847491391596440322906946849299893249093024177128625328621800788753877863713254341954638884514946563985222734824613974323685563912405,0.2339569672863455236949351719947754974058278028846052676558126599819571008101990635155550462923959911523831343948773985504641812770867514772967817796367
0.6193095930415984543152508608403559677093053150700106750906975822871374671378199211246122136286745658045361115485053436014777265175386025676314436087595,0.2339569672863455236949351719947754974058278028846052676558126599819571008101990635155550462923959911523831343948773985504641812770867514772967817796367
0.8306046932331322568306997975099526735032242821975850354072633529260917483035715504721432018732307282149441858196375733397786733861126902190861599005047,0.1803807865240693037849167569188580558307609463733727411448696201185700189186308591604811009944096739715586045701853992949399451391821605353883936057043
0.9662347571015760139061507772469973045673828688561449124362748082633067504221000981381443699609629925239318398632864170532939856897558192020960893090375,0.08566224618958517252014807108636644676341125074202199119931771989947288027117007732396385271319433487605826103493720215459587358373108798731482461465902
P7,
0.0254460438286207377369051579760743687996145311646911082256154480434683348225799295971346149860371379278496301665023919029021870943232234408611050420701,0.06474248308443484663530571633954100916429370112997333198860431936232761748602115435781270908146042254474220100081721394053267244690945223132481735399963
0.129234407200302780068067613359605796462926176429304869940022324016285062663909743103586583816568376470153740953443992878199972800885082326414807142363,0.1398526957446383339507338857118897912434625326132993822685070163468094052152813384066204714505988093831616876066860257595678184897815599721856763289062
0.2970774243113014165466967939615192683263089929503149368064783741026680933869371723358436551361267061173566206669759906609928805112956050198770853270284,0.1909150252525594724751848877444875669391825417669313673755417255153527732170648541743423296720224007251573358822926786672464478388191918781221593783187
0.5,0.208979591836734693877551020408163265306122448979591836734693877551020408163265306122448979591836734693877551020408163265306122448979591836734693877551
0.7029225756886985834533032060384807316736910070496850631935216258973319066130628276641563448638732938826433793330240093390071194887043949801229146729716,0.1909150252525594724751848877444875669391825417669313673755417255153527732170648541743423296720224007251573358822926786672464478388191918781221593783187
0.870765592799697219931932386640394203537073823570695130059977675983714937336090256896413416183431623529846259046556007121800027199114917673585192857637,0.1398526957446383339507338857118897912434625326132993822685070163468094052152813384066204714505988093831616876066860257595678184897815599721856763289062
0.9745539561713792622630948420239256312003854688353088917743845519565316651774200704028653850139628620721503698334976080970978129056767765591388949579299,0.06474248308443484663530571633954100916429370112997333198860431936232761748602115435781270908146042254474220100081721394053267244690945223132481735399963
P8,
0.01985507175123188415821956571526350478588238284927398086418011131378755112829035778028052036834386584478780359135291189488052092239143572603131788975452,0.0506142681451881295762656771549810950576970455258424785295018490323700893817353924301413696520225032790771946657066333538577470154461743839365986520568
0.1016667612931866302042230317620847815814141341920175839649148524803913471617634539264240363521370304904012732734513453673171752541494570198613718962689,0.1111905172266872352721779972131204422150654350256247823629546446468084072852245204268265711885989639210796330506061090615557187899262861209690913337266
0.2372337950418355070911304754053768254790178784398035711245714503637725896157193637380192999031840089690451585375873695746445603116680610030097302348166,0.1568533229389436436689811009933006566301644995013674688451319725374781359710867484808490381169642780247137873205389043081236234161327808028445312138235
0.408282678752175097530261928819908009666621093543513108841405763150397762889228942941965888144438323127366170617856616695540199373806156715810571500242,0.1813418916891809914825752246385978060970730199471652702624115337833433673619533386621830210424142547751293849631483532764629107784947586922497788003931
0.591717321247824902469738071180091990333378906456486891158594236849602237110771057058034111855561676872633829382143383304459800626193843284189428499758,0.1813418916891809914825752246385978060970730199471652702624115337833433673619533386621830210424142547751293849631483532764629107784947586922497788003931
0.7627662049581644929088695245946231745209821215601964288754285496362274103842806362619807000968159910309548414624126304253554396883319389969902697651834,0.1568533229389436436689811009933006566301644995013674688451319725374781359710867484808490381169642780247137873205389043081236234161327808028445312138235
0.8983332387068133697957769682379152184185858658079824160350851475196086528382365460735759636478629695095987267265486546326828247458505429801386281037311,0.1111905172266872352721779972131204422150654350256247823629546446468084072852245204268265711885989639210796330506061090615557187899262861209690913337266
0.9801449282487681158417804342847364952141176171507260191358198886862124488717096422197194796316561341552121964086470881051194790776085642739686821102455,0.0506142681451881295762656771549810950576970455258424785295018490323700893817353924301413696520225032790771946657066333538577470154461743839365986520568
P9,
0.01591988024618695508221189854816356497529759975403733522498834407545981280169962346906312538655294419875620443834109200467385940151987453294599969442714,0.04063719418078720598594607905526182533783086039120537535555383844034334315422603147278927735147128847889703665898151904729502439754697787976407068942238
0.08198444633668210285028510596513256172794664093766200194781401018027249655920494055302690148707122987181209480447190656160391498000735932531940181023258,0.09032408034742870202923601562145640475716891086602024224916795323567864527247313488229748865159985207380373398012889686133981342303150636158950504023728
0.1933142836497048013456489803292629076071396975297176535635935288593663267544994007083799930482157077108832552015701157190301441235740126563770826979814,0.1303053482014677311593714347093164248859201022186499759699985010598054078344456223238230465475087009136936927678188252566592019119179134353514649341352
